metric_id,raw_score,rule
C1,0,"Профиль автохимии или близкой жидкой химии не подтвержден"
C1,1,"Только общий фулфилмент"
C1,2,"Есть широкая смежная категория без жидкой специфики"
C1,3,"Подтверждены косметика, жидкости или другая близкая категория"
C1,4,"Подтверждена химическая/жидкая категория и процессы, близкие к автохимии"
C1,5,"Прямо подтверждены автохимия/автокосметика или профильный кейс"
C2,0,"Защитная упаковка не описана"
C2,1,"Только общая упаковка"
C2,2,"Есть отдельный защитный материал"
C2,3,"Есть несколько защитных операций или ВПП с коробом"
C2,4,"Есть ВПП/термоусадка и дополнительные способы защиты"
C2,5,"Есть несколько материалов и сценарная защита жидкой тары/протечки"
C3,0,"Контроль не описан"
C3,1,"Общее обещание качества"
C3,2,"Визуальная проверка на явный брак"
C3,3,"Формализованный контроль, фото/видео или проверка по ТЗ"
C3,4,"Проверка жидкого товара, подтеков или близких рисков"
C3,5,"Прямая проверка герметичности, крышек/распылителей и работа с протечками"
C4,0,"Кейсов нет"
C4,1,"Только общие примеры или отзывы"
C4,2,"Есть измеримые результаты, но не профильный полный кейс"
C4,3,"Есть подробный кейс близкой категории"
C4,4,"Есть несколько сильных близких кейсов или очень близкий химический кейс"
C4,5,"Есть прямой кейс автохимии/автокосметики с объемом, сроком, операциями и результатом"
C5,0,"Связь с маркетплейсами не подтверждена"
C5,1,"Только упаковка"
C5,2,"Упаковка и маркировка"
C5,3,"FBO или неполный цикл"
C5,4,"Сильный полный цикл с ограничением по одной схеме/площадке"
C5,5,"Wildberries и Ozon, приемка, упаковка, маркировка, FBO и FBS"
C6,0,"Масштаб и автоматизация не описаны"
C6,1,"Только базовый склад"
C6,2,"Есть организованный процесс без измеримого throughput"
C6,3,"Есть WMS/автоматизация или умеренно раскрытый масштаб"
C6,4,"Есть WMS и измеримая производительность/развитая инфраструктура"
C6,5,"Есть сильная автоматизация и конкретный throughput/масштаб профильной обработки"
C7,0,"Условия не раскрыты"
C7,1,"Только индивидуальный расчет"
C7,2,"Есть часть условий"
C7,3,"Есть прайс или ограничения категорий"
C7,4,"Есть подробный прайс/процесс и существенные ограничения"
C7,5,"Есть прозрачный прайс плюс ограничения, состав операций и логика расчета"
