participant,C1,C2,C3,C4,C5,C6,C7,final_score,rank,status
"Преп-Центр",5,5,5,5,5,5,4,99,1,TOP10
"UpMarket",4,5,5,2,5,5,5,86,2,TOP10
"Родной Дом",5,5,5,1,5,2,5,82,3,TOP10
"Helpberries",4,4,4,4,5,4,4,82,4,TOP10
"Нитропак",4,5,4,2,3,4,5,77,5,TOP10
"Техскладлогистик",5,3,3,2,5,5,4,76,6,TOP10
"ПроФасовка",4,4,5,2,4,4,3,76,7,TOP10
"Кактус",4,3,4,2,5,5,5,75,8,TOP10
"FULFILLYOU",3,5,3,2,5,5,5,75,9,TOP10
"FullBox",3,4,4,2,5,5,4,73,10,TOP10
"U2Pack",3,5,3,2,5,5,3,73,11,CANDIDATE
"E-Fulfillment",3,4,4,2,5,4,4,71,12,CANDIDATE
"Будет сделано!",2,5,4,2,5,4,4,70,13,CANDIDATE
"9Gramm",2,5,4,1,4,4,5,66,14,CANDIDATE
"FullMark",4,3,5,1,4,2,3,65,15,CANDIDATE
