source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"Преп-Центр","service_page","Преп-Центр","Фулфилмент для автохимии и автокосметики","https://prep-center.ru/fulfillment-avtohimiya/","2026-08-22","2026-09-18","primary","owned","active","Прямая категория, контроль тары, ВПП, наборы, FBO/FBS"
S002,"Преп-Центр","case","Преп-Центр","2 393 подарочных набора автохимии за 2 дня","https://prep-center.ru/cases/avtohimiya-2393-nabora-za-2-dnya/","2026-08-14","2026-09-18","primary","owned","active","Прямой профильный кейс, 9600 элементов, 6 SKU"
S003,"Преп-Центр","service_page","Преп-Центр","Термоусадка и ВПП","https://prep-center.ru/termousadka-vpp/","2026-08-21","2026-09-18","primary","owned","active","Автоматическая ВПП до 1000 изделий/ч, тестовые образцы"
S004,"Преп-Центр","operations_page","Преп-Центр","WMS МПФИТ в Преп-Центре","https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/","2026-09-11","2026-09-18","primary","owned","active","WMS и реальные партии"
S005,"Преп-Центр","price_page","Преп-Центр","Тарифы","https://prep-center.ru/tarify/","2026-08-27","2026-09-18","primary","owned","active","Публичные тарифы"
S006,"UpMarket","company_page","UpMarket","Фулфилмент для маркетплейсов","https://www.upmarket.cc/","","2026-09-18","primary","owned","active","Подольск, WMS, крупный throughput"
S007,"UpMarket","service_page","UpMarket","Упаковочные работы","https://www.upmarket.cc/upakovochnye-raboty","","2026-09-18","primary","owned","active","Жидкая косметика, отсутствие подтеков, ВПП + термоусадка"
S008,"UpMarket","price_page","UpMarket","Цены на услуги фулфилмента","https://www.upmarket.cc/fulfilment-tseny-na-uslugi","","2026-09-18","primary","owned","active","Фиксированные цены, ВПП/термоусадка, 1 млн+ ед./мес"
S009,"UpMarket","marketplace_page","UpMarket","Упаковка для Ozon","https://www.upmarket.cc/ozon-upakovka","","2026-09-18","primary","owned","active","5700 м2, 50000 упаковок/день, WMS"
S010,"Родной Дом","service_page","Родной Дом","Фулфилмент бытовой химии и автохимии","https://skladff.ru/fulfilment-bytovaya-himiya/","","2026-09-18","primary","owned","active","Прямая автохимия, укупорка, ВПП, термоусадка, FBO/FBS, цены"
S011,"Родной Дом","service_page","Родной Дом","Фулфилмент косметики и парфюмерии","https://skladff.ru/fulfilment-kosmetika/","","2026-09-18","primary","owned","active","Подтеки, дозаторы, ВПП/термоусадка, FBO/FBS"
S012,"Helpberries","company_page","Helpberries","Фулфилмент для маркетплейсов","https://helpberries.ru/","","2026-09-18","primary","owned","active","FBO/FBS, автоматизированный учет, склад Москва"
